FIPS,Tract,County,State,Total,Under 18,18 to 64,Over 64,White,Black,Hispanic,Asian,Other_Races,Below 9th grade,High School,College,Advanced Degree
36103158506,Census Tract 1585.06,Suffolk County,New York,3577,0.2664243779703662,0.6125244618395304,0.12105116019010344,0.7657254682694996,0.006709533128319821,0.1453732177802628,0.06653620352250489,0.015655577299412915,0.030434782608695653,0.9221739130434783,0.4365217391304348,0.14217391304347826
36103158509,Census Tract 1585.09,Suffolk County,New York,5243,0.2370780087736029,0.5912645432004577,0.17165744802593935,0.6111005149723441,0.03623879458325386,0.2387945832538623,0.03948121304596605,0.07438489414457372,0.034482758620689655,0.8737532060416073,0.17811342262752922,0.057566258193217444
36103158510,Census Tract 1585.10,Suffolk County,New York,7048,0.18799659477866063,0.7003405221339387,0.11166288308740067,0.6257094211123723,0.04469353007945517,0.2061577752553916,0.07150964812712826,0.051929625425652666,0.08274865868757739,0.8433759801898473,0.26454808089145687,0.12546430045398266
36103158511,Census Tract 1585.11,Suffolk County,New York,6838,0.22550453348932437,0.5892073705761919,0.18528809593448375,0.6392219947353027,0.06303012576776836,0.26367358876864583,0.02573852003509798,0.008335770693185142,0.021450685537372845,0.9038036267138434,0.2693498452012384,0.0979655019902698
36103158512,Census Tract 1585.12,Suffolk County,New York,2968,0.23146900269541779,0.6276954177897575,0.1408355795148248,0.8659029649595688,0.017183288409703505,0.06064690026954178,0.04380053908355795,0.012466307277628033,0.011049723756906077,0.9337016574585635,0.44751381215469616,0.21049723756906077
36103158513,Census Tract 1585.13,Suffolk County,New York,2781,0.24739302409205322,0.6497662711254945,0.10284070478245236,0.6382596188421431,0.025170801869830995,0.19597267170082705,0.038475368572455954,0.1021215390147429,0.05837837837837838,0.9254054054054054,0.3308108108108108,0.1362162162162162
36103158514,Census Tract 1585.14,Suffolk County,New York,8156,0.25711132908288375,0.618930848455125,0.12395782246199118,0.7238842569887199,0.07491417361451692,0.09820990681706719,0.08337420304070622,0.0196174595389897,0.019499704549931062,0.8997439432735868,0.4134331298010636,0.1402402993894032
36103158604,Census Tract 1586.04,Suffolk County,New York,5366,0.20667163622810286,0.665672754379426,0.12765560939247111,0.7635109951546776,0.07752515840477078,0.11982855013045099,0.018822213939619827,0.020313082370480805,0.026771227690643593,0.9121146565711196,0.33180097349918874,0.14494321254732287
36103158605,Census Tract 1586.05,Suffolk County,New York,5193,0.2162526477951088,0.6535721163104179,0.13017523589447333,0.6847679568650106,0.03389177739264394,0.21143847487001732,0.04140188715578664,0.0284999037165415,0.021632535333141044,0.8468416498413615,0.2985289875973464,0.08133833285261033
36103158606,Census Tract 1586.06,Suffolk County,New York,5052,0.23653998416468724,0.6338083927157562,0.1296516231195566,0.7036817102137767,0.032066508313539195,0.17814726840855108,0.03602533650039588,0.050079176563737136,0.05470332850940666,0.8772793053545586,0.26946454413892906,0.09696092619392185
