FIPS,County,State,Met_Breast_Screen,Met_Cervical_Screen,Met_Colon_Screen,Currently_Smoke,BMI_Obese,Physically_Inactive,Binge_Drinking,Sleep_Debt,Cancer_Prevalence,Bad_Health,Poor_Physical,Poor_Mental,Depression,Diabetes_DX,High_BP,BP_Medicine,CHD,Had_Stroke,Kidney_Disease,Asthma,COPD,No_Teeth,Recent_Checkup,Recent_Dentist
36059519601,Nassau County,New York,77.2,88.0,76.0,8.9,24.2,19.1,15.6,30.6,7.7,9.1,7.8,11.0,15.0,8.4,27.6,79.5,5.0,2.4,2.6,8.8,4.5,6.7,80.0,77.1
36059519602,Nassau County,New York,77.6,89.3,76.6,8.3,24.5,16.7,16.6,29.9,7.5,8.1,7.4,10.8,15.4,7.6,26.4,78.5,4.5,2.1,2.4,9.0,4.1,5.5,80.0,79.7
36059519702,Nassau County,New York,76.5,88.7,76.4,8.5,24.6,18.9,14.9,29.5,8.9,9.2,8.2,10.4,14.8,8.9,30.2,81.6,5.7,2.6,2.9,8.8,4.8,6.5,81.5,78.4
36059519703,Nassau County,New York,77.4,88.5,76.1,8.6,24.0,17.6,16.3,30.3,7.5,8.3,7.4,10.6,14.8,7.9,26.6,78.8,4.6,2.2,2.4,8.7,4.1,6.0,79.9,78.7
36059519704,Nassau County,New York,76.5,88.4,77.1,9.5,25.0,19.1,15.6,30.5,8.2,9.5,8.2,11.1,15.5,8.8,28.9,80.1,5.3,2.5,2.8,9.0,4.9,6.5,80.5,77.3
36059519801,Nassau County,New York,76.2,86.8,75.7,9.9,24.2,20.1,15.8,31.1,7.6,9.8,8.2,11.5,15.3,8.6,27.6,79.2,5.1,2.5,2.7,9.0,4.8,7.5,79.5,75.6
36059519802,Nassau County,New York,76.6,88.0,75.6,9.6,24.9,19.8,15.6,30.9,8.3,9.7,8.4,11.2,15.4,8.8,28.9,80.1,5.4,2.6,2.8,9.0,4.9,7.2,80.4,76.7
36059519900,Nassau County,New York,75.8,88.2,76.0,10.2,25.5,19.5,16.6,31.1,7.8,9.5,8.3,11.7,16.0,8.3,27.7,79.0,5.1,2.4,2.6,9.2,4.9,7.2,79.7,76.5
36059520001,Nassau County,New York,73.3,87.2,76.0,11.4,26.0,23.7,14.9,31.3,9.3,12.1,9.8,12.1,16.0,9.7,31.7,81.6,6.7,3.2,3.3,9.3,6.3,10.1,80.6,72.9
36059520002,Nassau County,New York,75.6,87.5,74.3,10.9,26.4,20.5,17.2,31.6,7.3,10.1,8.6,12.7,16.7,8.3,27.1,78.1,4.9,2.4,2.6,9.5,5.0,8.0,79.0,75.0
36059520100,Nassau County,New York,76.5,88.6,75.9,9.5,25.4,18.9,16.1,30.5,8.2,9.2,8.2,11.3,15.7,8.4,28.5,79.7,5.2,2.4,2.7,9.1,4.8,6.8,80.3,77.5
36059520200,Nassau County,New York,76.3,88.0,75.0,10.8,25.8,19.5,18.2,32.1,6.7,9.3,8.0,12.6,16.5,7.5,25.2,76.2,4.4,2.1,2.4,9.2,4.5,7.5,78.1,75.6
36059520300,Nassau County,New York,75.6,87.4,74.0,12.4,27.3,22.0,17.3,32.7,7.3,10.8,9.2,13.1,16.9,8.5,27.8,78.0,5.1,2.5,2.6,9.5,5.4,9.0,78.7,73.3
36059520401,Nassau County,New York,77.1,86.8,74.0,11.4,27.3,21.6,17.0,32.4,6.8,10.9,8.9,12.8,16.5,8.7,27.0,77.4,4.8,2.4,2.6,9.5,5.1,8.5,78.4,72.8
36059520402,Nassau County,New York,75.1,86.3,72.4,13.5,28.3,24.8,16.3,33.6,7.6,12.6,10.1,13.6,17.0,9.4,29.5,78.7,5.6,2.8,2.9,9.7,6.1,11.1,78.9,70.1
36059520501,Nassau County,New York,75.1,87.3,73.7,11.8,26.9,21.5,17.7,32.9,7.0,10.4,8.8,13.1,16.7,8.2,26.7,77.2,4.9,2.4,2.6,9.4,5.0,8.7,78.3,73.5
36059520502,Nassau County,New York,75.8,87.8,75.0,11.3,26.8,20.9,16.9,32.0,7.8,10.4,9.0,12.8,16.9,8.7,28.5,78.9,5.4,2.6,2.8,9.5,5.4,8.5,79.3,74.5
36059520600,Nassau County,New York,75.2,87.3,72.7,12.5,28.1,22.9,16.9,33.2,7.1,11.5,9.4,13.3,16.8,9.1,28.2,77.9,5.3,2.5,2.7,9.6,5.5,9.7,78.7,71.8
