FIPS,Tract,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
36103147301,Census Tract 1473.01,Suffolk County,New York,0.4118,0.022351797862001945,0.019436345966958212,-0.1871275327771156,0.4259757037777917,0.2664756446991404,0.09548254620123203,0.029850746268656716,0.40304182509505704,0.0,0.06754072308303535
36103147302,Census Tract 1473.02,Suffolk County,New York,0.4983,0.15434891905480141,0.3011563599798894,0.6390667886550778,0.5842120262182958,0.0866738894907909,0.32894736842105265,0.33525179856115106,0.0,0.0,0.0053832350679313
36103147401,Census Tract 1474.01,Suffolk County,New York,0.3901,0.07145790554414784,0.19342915811088296,0.6018036767256331,0.2466988802140394,0.01966568338249754,0.06748466257668712,0.0,0.0,0.0,0.005757800891530461
36103147402,Census Tract 1474.02,Suffolk County,New York,0.396,0.4086460032626427,0.4257748776508972,0.8962487326799594,0.24609596110944632,0.05904761904761905,0.0,0.0,,0.0,0.0
36103147502,Census Tract 1475.02,Suffolk County,New York,0.411,0.4367283950617284,0.4542181069958848,0.8918870300413744,0.2500931561296733,0.0,0.0,0.0,,0.0,0.0030024394820791895
36103147503,Census Tract 1475.03,Suffolk County,New York,0.4701,0.3134872417982989,0.38760631834750914,0.8805220883534136,0.2874449339207048,0.0,,0.0,,0.0,0.0
36103147504,Census Tract 1475.04,Suffolk County,New York,0.4113,0.4964871194379391,0.38173302107728335,0.5615615615615616,-0.18570244079390585,0.0,0.0,0.004807692307692308,0.0,0.0,0.021021021021021023
36103147505,Census Tract 1475.05,Suffolk County,New York,0.4209,0.24247491638795987,0.34531772575250835,0.7083214591051582,0.22602825638277246,0.025348542458808618,0.0,0.06222865412445731,0.0,0.0,0.003953771289537713
36103147601,Census Tract 1476.01,Suffolk County,New York,0.3728,0.4392523364485981,0.46261682242990654,0.6932958651144119,-0.02721878760217411,0.013605442176870748,0.0,0.022900763358778626,0.07368421052631578,0.0,0.0
36103147602,Census Tract 1476.02,Suffolk County,New York,0.4745,0.16076845298281092,0.27199191102123355,0.8556451612903225,-0.04304144144144151,0.0,0.0,0.0,0.0,0.0,0.005738575982996812
36103147701,Census Tract 1477.01,Suffolk County,New York,0.4432,0.3202785030461271,0.402088772845953,0.8911722141823444,0.10480650048202722,0.0,0.0,0.0,,0.0,0.0012418503570319776
36103147702,Census Tract 1477.02,Suffolk County,New York,0.3816,0.48502304147465436,0.5397465437788018,0.9350990699555196,0.30782361804231007,0.0244140625,0.0,0.3235294117647059,,,0.0
36103147802,Census Tract 1478.02,Suffolk County,New York,0.4537,0.36497424576894777,0.44885945548197204,0.8970588235294118,0.20076058110585204,0.0,0.0,0.1517509727626459,,0.0,0.006732117812061711
36103147803,Census Tract 1478.03,Suffolk County,New York,0.445,0.21457765667574932,0.31539509536784743,0.8977049180327868,0.426567241563353,0.0,0.0,0.0,,0.0,0.004786324786324786
36103147804,Census Tract 1478.04,Suffolk County,New York,0.421,0.47844827586206895,0.5587284482758621,0.886896782841823,0.18316875961504064,0.015561959654178675,0.0,0.029556650246305417,,0.0,0.0
