FIPS,Tract,County,State,PM25,Lead Paint,Diesel PM,Air Toxics Cancer,Air Toxics Resp,Toxics Release to Air,Traffic Proximity,Water Discharge,Superfund Proximity,RMP Proximity,Hazardous Waste Proximity,Ozone,Underground Storage Tanks
36059414100,Census Tract 4141.00,Nassau County,New York,7.3539695890411,0.936583057264552,0.336785107,20.0,0.3,73.63509544567769,141.71649956297426,0.000733200353923,0.130993910585773,0.086532311245316,1.239160467695551,67.9753,0.429592456270492
36059414201,Census Tract 4142.01,Nassau County,New York,7.33469616438356,0.73955296404276,0.321930771,20.0,0.3,68.00980968519485,339.69924761161764,0.000760181247794,0.117429863358088,0.079112563523897,1.565139760426838,67.77084,1.696046674314706
36059414202,Census Tract 4142.02,Nassau County,New York,7.32023263013699,0.85020920502092,0.325915923,20.0,0.3,70.87840685415212,283.0093225410311,0.000279043042608,0.119596719751172,0.083627952012356,1.747360362478057,67.86308,0.721292128315722
36059414301,Census Tract 4143.01,Nassau County,New York,7.29786802739726,0.76150234741784,0.331984794,20.0,0.3,65.75382492141699,642.8159954264052,0.001005450504575,0.113061124863007,0.07603417532366,1.778045389582483,67.59845,1.652365228784052
36059414303,Census Tract 4143.03,Nassau County,New York,7.27975271232877,0.795143212951432,0.321785934,20.0,0.3,62.64599650404095,230.9542523932112,0.001462741936422,0.115403296392241,0.072739315207328,1.663530409574138,67.41434,2.609294512713578
36059414304,Census Tract 4143.04,Nassau County,New York,7.25730687671233,0.840542832909245,0.325435479,20.0,0.3,63.50888530950039,423.1906265850114,0.000226363355791,0.103648945701741,0.075245055462528,2.577753815139288,67.51614,1.712628374066616
36059414400,Census Tract 4144.00,Nassau County,New York,7.25148109589041,0.639084507042253,0.337110127,20.0,0.3,66.16909493291068,435.7971914670292,0.000194699159029,0.109503867744466,0.080492031298447,3.05676168826699,67.65287,1.322074540120389
36059414501,Census Tract 4145.01,Nassau County,New York,7.21906783561644,0.614645308924485,0.300399911,20.0,0.3,57.460299368910405,90.67644847953432,0.001102685736225,0.112635520726982,0.067749744692677,1.463977208107536,67.26104,1.852695633041059
36059414502,Census Tract 4145.02,Nassau County,New York,7.19339087671233,0.520725388601036,0.345929701,20.0,0.3,55.3968339437657,77.09131223557601,0.000233849594142,0.1016532236053,0.068614987403068,1.48790359132543,67.2784,1.362800528483961
36059414600,Census Tract 4146.00,Nassau County,New York,7.37216493150685,0.863338788870703,0.362261657,20.0,0.3,84.97014590423075,501.0913465430714,0.000146126750136,0.13791594290862,0.105679552828696,0.747986769285052,68.34525,0.479290614729951
36059414700,Census Tract 4147.00,Nassau County,New York,7.34922219178082,0.736020806241872,0.383250538,20.0,0.3,78.85608185995237,397.953735215512,0.000111215019485,0.131508734960381,0.109373735426283,0.72014105209829,68.31977,0.493689857501191
36059414800,Census Tract 4148.00,Nassau County,New York,7.32641534246575,0.642888790429774,0.381600016,20.0,0.3,76.89927769650035,249.66537438128705,0.207251533568709,0.126924279082066,0.10924966152369,0.647923551885018,68.31311,0.0
36059414900,Census Tract 4149.00,Nassau County,New York,7.32676191780822,0.570768584628307,0.389656126,20.0,0.3,83.47769787314108,263.32913461631034,0.296558423088385,0.134173179353407,0.117498701197559,0.490304152651288,68.44659,0.29484604830338
36059415000,Census Tract 4150.00,Nassau County,New York,7.30228967123288,0.716471188169301,0.358569653,20.0,0.3,69.7453017414341,273.483569756809,0.000129916390047,0.117137495255716,0.092748743550101,1.032014534660894,67.95839,3.099162804871049
36059415101,Census Tract 4151.01,Nassau County,New York,7.24361723287671,0.678456591639871,0.342432282,20.0,0.3,58.56365407373119,485.6820381588173,0.041727885956989,0.10142160658172,0.083123533706452,1.70869366295914,67.74219,4.270624511522581
36059415102,Census Tract 4151.02,Nassau County,New York,7.17697232876712,0.476646032639279,0.34790225,20.0,0.3,50.926773895683326,83.45752856595276,0.1600465291246,0.089670396831316,0.075886885774112,1.192776235302812,67.37904,0.2204708935533
36059415201,Census Tract 4152.01,Nassau County,New York,7.26979315068493,0.85738255033557,0.356037285,20.0,0.3,64.3023522521273,204.84073002570727,0.223324073657236,0.10745028084222,0.092537835020131,0.772492252039445,67.95924,4.897659565424103
36059415202,Census Tract 4152.02,Nassau County,New York,7.17466328767123,0.418558077436582,0.329883891,20.0,0.3,51.56556819044182,62.80223839546403,0.3954186939496,0.088923942533304,0.07822737326532,0.715316879141652,67.66496,0.0
36059415300,Census Tract 4153.00,Nassau County,New York,7.26244602739726,0.716138328530259,0.358108934,20.0,0.3,66.96850970995595,173.18831896818057,0.402198240705743,0.111639336385228,0.097530908339319,0.502295490819414,68.09666,0.891652435168219
36059415401,Census Tract 4154.01,Nassau County,New York,7.19842493150685,0.679234972677595,0.337974503,20.0,0.3,56.982539433303934,284.85344416480336,0.500233485792723,0.098391768043366,0.085161020872841,0.568777153733554,67.79264,1.274024016426681
36059415402,Census Tract 4154.02,Nassau County,New York,7.15668594520548,0.361904761904761,0.310994639,20.0,0.3,51.21715748775242,52.64040027838652,0.703676350099354,0.097392704704564,0.080100124313207,0.476924931003635,67.69401,0.194178911437803
36059415500,Census Tract 4155.00,Nassau County,New York,7.29751287671233,0.939772727272727,0.400308946,20.0,0.3,97.62025320046173,569.7950024680647,0.275848219893421,0.211451837824933,0.113104524779531,0.246948132151597,68.65831,1.225647331261254
36059415600,Census Tract 4156.00,Nassau County,New York,7.26683369863014,0.747767857142857,0.369162315,20.0,0.3,76.6312524878683,212.6290719512345,0.448193404498654,0.130968888432442,0.10652109357958,0.247636194176924,68.23009,0.801627433750045
36059415700,Census Tract 4157.00,Nassau County,New York,7.1554015890411,0.539487179487179,0.312228413,20.0,0.3,55.69089219567937,223.0705373197168,1.120129997743931,0.111783398728759,0.084990950193189,0.22719240113503,67.72582,0.032874864356035
